model,lever,n_intent_stated,dir_consistency,n_calib,calib_coverage,exact_match,within_0p5,corr_stated_realized,mean_abs_stated_minus_realized
gemini-2.0-flash,Payoff Tree,136,1.0,143,0.9533,0.972,1.0,1.0,0.014
google/gemma-3-27b-it,Payoff Tree,84,0.9286,143,0.9533,0.9231,0.979,0.9998,0.0469
gpt-4o,Payoff Tree,114,0.9298,122,0.8133,0.9672,0.9754,1.0,0.0156
claude-3-5-haiku-20241022,Risk-averse persona,108,0.9907,122,0.9457,0.4836,0.5574,0.9982,0.5516
gemini-2.0-flash,Risk-averse persona,129,1.0,145,0.9667,0.9448,0.9448,0.9683,0.7559
google/gemma-3-27b-it,Risk-averse persona,43,1.0,136,0.9444,0.9118,0.9559,0.9995,0.0735
gpt-4o,Risk-averse persona,119,1.0,132,0.88,0.9924,1.0,1.0,0.0008
claude-3-5-haiku-20241022,Risk-neutral persona,126,0.9683,117,0.7959,0.4872,0.7265,0.9987,0.4342
gemini-2.0-flash,Risk-neutral persona,147,1.0,147,0.98,1.0,1.0,1.0,0.0
google/gemma-3-27b-it,Risk-neutral persona,14,0.8571,136,0.9855,0.9191,0.9412,0.9764,0.3664
gpt-4o,Risk-neutral persona,117,1.0,137,0.9133,0.9781,0.9927,1.0,0.0095
claude-3-5-haiku-20241022,Risk-seeking persona,59,1.0,105,0.7,0.4286,0.4571,0.9912,1.4438
gemini-2.0-flash,Risk-seeking persona,125,1.0,129,0.9348,1.0,1.0,1.0,0.0
google/gemma-3-27b-it,Risk-seeking persona,37,1.0,144,0.96,0.9583,0.9583,0.9923,0.1736
gpt-4o,Risk-seeking persona,102,0.9804,136,0.9067,0.9632,0.9779,0.9997,0.0493
claude-3-5-haiku-20241022,Second-order beliefs,135,1.0,135,0.9,0.4,0.4444,0.9943,0.777
gemini-2.0-flash,Second-order beliefs,141,1.0,138,0.92,0.9855,0.9928,0.9978,0.0696
google/gemma-3-27b-it,Second-order beliefs,17,1.0,133,0.8867,0.8872,0.9248,0.9713,0.7241
