Auction,Auction_Name,Is_OSP,N,Mean_Bid_Ratio,Std_Bid_Ratio,Optimal_Ratio,Distance_from_Optimal,Overbidding_Rate,Underbidding_Rate,Dominant_Rate,SMAD,Source
2P,Second-Price Sealed-Bid,False,4904,1.0379695940829554,0.162133793065522,1.0,0.037969594082955416,0.5020391517128875,0.27487765089722677,0.2230831973898858,9.256609846933987,Li 2017 AER
AC,Ascending Clock,True,4900,0.9989046568408171,0.15307178351827436,1.0,0.0010953431591829155,0.3679591836734694,0.35897959183673467,0.2730612244897959,7.326131715466468,Li 2017 AER
