auction,auction_key,smad,se,ci_lower,ci_upper,n,type
Ascending Clock APV,ascending_clock_apv,7.743837084673097,1.0537180999172508,5.678549608835286,9.80912456051091,159,apv
AC-Closed (AC-B) APV,ascending_clock_apv_closed,8.329164582291146,1.1637363328973929,6.0482413698122555,10.610087794770036,171,apv
Second-Price IPV,spsb_ipv,8.735101311084625,0.6793886984232943,7.403499462174969,10.06670315999428,270,ipv
Second-Price APV,spsb_apv,11.40166447656592,0.6138771634566438,10.1984652361909,12.604863716940944,291,apv
First-Price IPV,fpsb_ipv,41.62567147299973,1.605621548762859,38.47865323742453,44.77268970857493,285,ipv
Third-Price IPV,third_price_ipv,52.89739684297979,1.6455820497417155,49.67205602548603,56.12273766047355,288,ipv
First-Price CV,common_value_first,216.70743179680153,12.554196462892047,192.10120672953312,241.31365686406994,96,cv
Second-Price CV,common_value_second,298.84,21.24333593716228,257.2030615631619,340.47693843683805,92,cv
All-Pay IPV,all_pay_ipv,176.9917864476386,6.863317250647392,163.5396846363697,190.44388825890744,273,all_pay
